cuenta|descri|cta_raiz|cta_niv3|cn_nivel|||
2220000000|PREVISION PARA BENEFICIOS SOCIALES (INDEMNIZACIONES|2200000000|2220000000|3|||
2220010000|PREVISION INDEMNIZACION|2200000000|2220000000|4|||
2220010100|PREVISION INDEMNIZACION POR PAGAR |2200000000|2220000000|5|||
2230000000|OTROS PASIVOS NO CORRIENTES|2200000000|2230000000|3|||
3000000000|PATRIMONIO|3000000000||1|||
3100000000|CAPITAL SOCIAL|3100000000||2|||
3110000000|CAPITAL SOCIAL PAGADO|3100000000|3110000000|3|||
3110100000|CAPITAL SOCIAL PAGADO|3100000000|3110000000|4|||
3110100100|CAPITAL SOCIAL PAGADO|3100000000|3110000000|5|||
3200000000|APORTES POR CAPITALIZAR|3200000000||2|||
3210000000|APORTES POR CAPITALIZAR|3200000000|3110000000|3|||
3210010000|APORTES POR CAPITALIZAR|3200000000|3210000000|4|||
3210010100|APORTES POR CAPITALIZAR|3200000000|3210000000|5|||
3300000000|RESERVAS POR REVALUOS TECNICOS|3300000000||2|||
3310000000|RESERVAS POR REVALUOS TECNICOS|3300000000|3110000000|3|||
3400000000|RESERVAS|3400000000||2|||
3410000000|RESERVA LEGAL|3400000000|3110000000|3|||
3500000000|AJUSTES AL PATRIMONIO|3500000000||2|||
3510000000|AJUSTES AL PATRIMONIO|3500000000|3110000000|3|||
3600000000|AJUSTE DE CAPITAL|3600000000||2|||
3610000000|AJUSTE DE CAPITAL|3600000000|3110000000|3|||
3700000000|APORTES NO CAPITALIZABLES|3700000000||2|||
3710000000|APORTES NO CAPITALIZABLES|3700000000|3110000000|3|||
3800000000|RESULTADOS ACUMULADOS|3800000000||2|||
3810000000|Utilidades Acumuladas|3800000000|3810000000|3|||
3810100000|Utilidades Acumuladas|3800000000|3810000000|4|||
3820000000|UTILIDADES DEL PERIODO O GESTION|3800000000|3820000000|3|||
3820100000|Utilidades del periodo o gestion|3800000000|3820000000|4|||
3830000000|(PERDIDAS ACUMULADAS)|3800000000|3830000000|3|||
3830100000|(PERDIDAS ACUMULADAS)|3800000000|3830000000|4|||
3840000000|(PERDIDAS DEL PERIODO O GESTION)|3800000000|3840000000|3|||
3840100000|(Perdidas del periodo o gestion)|3800000000|3840000000|4|||
4000000000|INGRESOS|4000000000||1|||
4100000000|INGRESOS ORDINARIOS|4100000000||2|||
4110000000|VENTAS|4100000000|4110000000|3|||
4110010000|VENTA DE MOLIENDA Y GRANULADO MINERALES NO METALICOS|4100000000|4110000000|4|||
4110010100|VENTA DE MOLIENDA Y GRANULADO ULEXITA|4100000000|4110000000|5|||
4110010200|VENTA DE MOLIENDA YESO AGRICOLA|4100000000|4110000000|5|||
4110010300|VENTA DE ROCA FOSFORICA Y CALSITA |4100000000|4110000000|5|||
4110010400|VENTA DE BENTONITA Y BARITINA |4100000000|4110000000|5|||
4110020000|VENTA DE FERTILIZANTES|4100000000|4110000000|4|||
4110020100|VENTA DE FERTILIZANTES|4100000000|4110000000|5|||
4120000000|DEVOLUCIONES, REBAJAS Y DESCUENTOS DE BIENES Y/O SE|4100000000|4120000000|3|||
4120000100|DEVOLUCION PROVEEDORES DE BIENES |4100000000|4120000000|5|||
4120000200|DEVOLUCION PROVEEDORES DE SERVICIOS|4100000000|4120000000|5|||
4130000000|DESCUENTO EN COMPRAS|4100000000|4130000000|3|||
4130010000|DESCUENTO EN COMPRAS|4100000000|4130000000|4|||
4130010100|DESCUENTO EN COMPRAS|4100000000|4130000000|5|||
4130010200|DEVOLUCION EN COMPRAS|4100000000|4130000000|5|||
4140000000|INGRESOS FINANCIEROS|4100000000|4140000000|3|||
4140010000|INTERESES SOBRE DEPOSITOS BANCARIOS|4100000000|4140000000|4|||
4140010100|INTERESES SOBRE DEPOSITOS BANCARIOS|4100000000|4140000000|5|||
4140020000|INTERESES DE INVERSIONES TEMPORALES|4100000000|4140000000|4|||
4140020100|INTERESES DE INVERSIONES TEMPORALES|4100000000|4140000000|5|||
4140030000|OTROS INGRESOS FINANCIEROS|4100000000|4140000000|4|||
4140040000|AJUSTE POR INFLACION Y TENENCIA DE BIENES|4100000000|4140000000|4|||
4140040100|AJUSTE POR INFLACION Y TENENCIA DE BIENES|4100000000|4140000000|5|||
4150000000|OTROS INGRESOS|4100000000|4150000000|3|||
4150010000|INGRESOS POR SERVICIOS DE LABORATORIO|4100000000|4150000000|4|||
4150010100|INGRESOS POR SERVICIOS DE LABORATORIO|4100000000|4150000000|5|||
4150020000|INGRESOS POR VENTA DE VALORES|4100000000|4150000000|4|||
4150020100|INGRESOS POR VENTA DE VALORES|4100000000|4150000000|5|||
4150030000|OTROS INGRESOS POR VENTAS |4100000000|4150000000|4|||
4150030100|VENTAS DE FIERROS CHATARRAS Y OTROS|4100000000|4150000000|5|||
4150040000|OTROS INGRESOS|4100000000|4150000000|4|||
4150040100|OTROS INGRESOS|4100000000|4150000000|5|||
4150040200|INGRESO POR DEVOLUCIÓN DE REGALÍAS MINERAS|4100000000|4150000000|5|||
4150040300|DONACIONES PERSONALES |4100000000|4150000000|5|||
4150050000|INGRESOS POR SERVICIOS PRESTADOS|4100000000|4150000000|4|||
4150050100|INGRESOS POR SERVICIOS PRESTADOS TRANSPORTE INTERDEPARTAMENTAL|4100000000|4150000000|5|||
4150050200|INGRESOS POR SERVICIOS PRESTADOS TRANSPORTE DEPARTAMENTAL|4100000000|4150000000|5|||
4150050300|INGRESO POR SERVICIO DE PESAJE EN BALANZA|4150050000|4150000000|5|||
4150050400|INGRESO POR SERVICIO DE MAQUILADO |4150050000|4150000000|5|||
4200000000|INGRESOS EXTRAORDINARIOS|4000000000||2|||
4210000000|INGRESOS EXTRAORDINARIOS|4200000000|4210000000|3|||
4210010000|DIFERENCIA DE CAMBIO|4200000000|4210000000|4|||
4210010100|DIFERENCIA DE CAMBIO|4200000000|4210000000|5|||
5000000000|EGRESOS|5000000000||1|||
5200000000|COSTO DE VENTAS |5000000000||2|||
5210000000|FLETES Y TRANSPORTES|5200000000|5210000000|3|||
5210010000|FLETES Y TRANSPORTES DE PRODUCTOS Y MATERIALES|5200000000|5210000000|4|||
5210010100|FLETES Y TRANSPORTES  DE MATERIA PRIMA |5200000000|5210000000|5|||
5210010200|FLETES Y TRANSPORTES DE PRODUCTOS TERMINADOS|5200000000|5210000000|5|||
5210010210|FLETES Y TRANSPORTES DE PRODUCTOS TERMINADOS ULEXITA|5210010200|5210000000|6|||
5210010220|FLETES Y TRANSPORTES DE PRODUCTOS TERMINADOS FORMULADO DE YESO AGRICOLA|5210010200|5210000000|6|||
5210010230|FLETES Y TRANSPORTES DE PRODUCTOS TERMINADOS ROCA FOSFORICA|5210010200|5210000000|6|||
5210010240|FLETES Y TRANSPORTES DE PRODUCTOS TERMINADOS YESO AGRICOLA|5210010200|5210000000|6|||
5210010300|FLETES Y TRANSPORTES EN GENERAL|5200000000|5210000000|5|||
5210020000|DEVOLUCION EN COMPRAS|5200000000|5210000000|4|||
5210020100|DEVOLUCION EN COMPRAS|5200000000|5210000000|5|||
5210030000|DESCUENTOS SOBRE VENTAS|5200000000|5210000000|4|||
5210030100|DESCUENTOS SOBRE VENTAS|5200000000|5210000000|5|||
5210040000|COSTO DE PRODUCTOS DAÑADOS|5200000000|5210000000|4|||
5210040100|COSTO DE PRODUCTOS DAÑADOS|5200000000|5210000000|5|||
5210050000|GASTOS DE ESTADIA EN FRONTERA|5200000000|5210000000|4|||
5210050100|PESAJE DE PRODUCTOS TERMINADOS|5200000000|5210000000|5|||
5210060000|DESCUENTO SOBRE SERVICIOS|5210000000||4|||
5210060100|GASTOS DE ESTADIA EN FRONTERA|5210050000|5210000000|5|||
5210060200|DESCUENTO SOBRE SERVICIOS|5210060000|5210000000|5|||
5300000000|COSTO DE PRODUCCION|5300000000||2|||
